STARFIRE_INCIDENT_ID,INCIDENT_DATETIME,INCIDENT_BOROUGH
52,9/30/2007,BROOKLYN
14,3/26/2012,BRONX
21,10/18/2018,QUEENS
27,10/11/2008,BRONX
35,5/31/2005,BROOKLYN
22,1/14/2007,MANHATTAN
29,8/3/2010,BRONX
43,3/28/2010,BROOKLYN
33,3/16/2018,BROOKLYN
24,6/22/2010,QUEENS
12,12/9/2011,RICHMOND / STATEN ISLAND
9,9/24/2012,RICHMOND / STATEN ISLAND
34,7/31/2005,BROOKLYN
2,2/17/2012,RICHMOND / STATEN ISLAND
26,6/22/2018,BROOKLYN
30,10/13/2010,MANHATTAN
17,6/24/2018,MANHATTAN
28,7/29/2016,BROOKLYN
49,7/14/2007,BROOKLYN
2,2/18/2011,RICHMOND / STATEN ISLAND
12,4/23/2007,RICHMOND / STATEN ISLAND
10,4/1/2016,RICHMOND / STATEN ISLAND
4,7/17/2009,RICHMOND / STATEN ISLAND
21,2/26/2019,BROOKLYN
14,2/5/2013,QUEENS
30,10/16/2018,BRONX
17,5/25/2018,BRONX
25,7/11/2011,BRONX
15,12/30/2018,MANHATTAN
23,3/8/2017,BRONX
39,2/10/2008,BROOKLYN
24,5/29/2009,MANHATTAN
25,9/5/2014,BRONX
3,11/8/2014,RICHMOND / STATEN ISLAND
14,6/24/2021,QUEENS
15,5/3/2016,BRONX
45,11/17/2009,BROOKLYN
23,4/6/2014,MANHATTAN
37,7/1/2009,BROOKLYN
2,8/31/2007,RICHMOND / STATEN ISLAND
25,5/29/2010,MANHATTAN
29,1/27/2017,BROOKLYN
14,5/2/2011,BRONX
28,6/3/2009,MANHATTAN
22,9/25/2018,BRONX
31,11/18/2006,QUEENS
29,1/11/2016,MANHATTAN
18,11/27/2018,QUEENS
20,3/26/2013,QUEENS
41,1/2/2020,BROOKLYN
23,1/2/2020,QUEENS
33,1/28/2018,BROOKLYN
7,3/6/2005,RICHMOND / STATEN ISLAND
20,3/22/2015,BRONX
31,10/13/2019,BRONX
2,8/22/2014,RICHMOND / STATEN ISLAND
8,8/27/2017,RICHMOND / STATEN ISLAND
25,12/21/2012,QUEENS
31,3/14/2012,QUEENS
32,6/25/2005,MANHATTAN
58,2/18/2014,MANHATTAN
42,11/20/2011,MANHATTAN
14,9/14/2018,QUEENS
5,1/3/2020,RICHMOND / STATEN ISLAND
8,7/10/2006,RICHMOND / STATEN ISLAND
15,7/21/2021,MANHATTAN
30,3/24/2014,QUEENS
25,7/5/2010,RICHMOND / STATEN ISLAND
28,3/31/2006,QUEENS
39,8/4/2007,BROOKLYN
22,12/25/2012,MANHATTAN
20,9/22/2012,QUEENS
41,5/8/2010,MANHATTAN
25,8/23/2008,MANHATTAN
25,1/17/2010,QUEENS
23,2/3/2009,BRONX
40,1/3/2020,BROOKLYN
34,2/1/2008,BROOKLYN
8,3/16/2013,RICHMOND / STATEN ISLAND
14,8/3/2013,QUEENS
30,6/24/2006,QUEENS
35,11/4/2017,QUEENS
19,10/16/2014,BRONX
58,4/13/2005,BROOKLYN
104,2/22/2015,MANHATTAN
22,7/16/2010,BRONX
35,12/10/2012,BROOKLYN
51,12/16/2011,BROOKLYN
45,3/3/2006,MANHATTAN
20,7/29/2005,QUEENS
29,2/8/2014,QUEENS
15,12/18/2014,BRONX
16,9/12/2018,QUEENS
18,1/3/2020,MANHATTAN
67,7/21/2019,QUEENS
19,9/15/2008,BRONX
24,11/14/2011,BRONX
20,4/28/2016,MANHATTAN
25,1/23/2015,QUEENS
4,10/31/2014,RICHMOND / STATEN ISLAND
15,7/11/2019,BRONX
15,9/6/2008,BRONX
23,1/22/2009,BRONX
29,1/19/2009,BRONX
15,1/7/2021,MANHATTAN
60,12/10/2017,BRONX
32,11/13/2008,BROOKLYN
40,7/3/2007,QUEENS
2,3/7/2013,RICHMOND / STATEN ISLAND
24,10/9/2008,QUEENS
4,9/15/2013,RICHMOND / STATEN ISLAND
3,6/4/2018,RICHMOND / STATEN ISLAND
28,3/23/2018,QUEENS
16,8/3/2009,BRONX
22,5/11/2006,BRONX
32,2/16/2010,QUEENS
33,10/19/2013,BROOKLYN
18,9/2/2010,QUEENS
20,2/27/2008,BRONX
16,6/1/2019,MANHATTAN
32,2/15/2016,BRONX
29,9/11/2013,MANHATTAN
23,6/15/2017,BROOKLYN
30,8/21/2016,BROOKLYN
6,11/21/2010,RICHMOND / STATEN ISLAND
22,9/26/2019,BRONX
18,4/21/2010,QUEENS
11,7/4/2012,RICHMOND / STATEN ISLAND
17,1/3/2020,QUEENS
24,1/31/2008,QUEENS
7,12/23/2009,RICHMOND / STATEN ISLAND
31,7/22/2007,BRONX
33,5/2/2018,BRONX
31,10/7/2006,BRONX
25,1/9/2012,QUEENS
16,1/3/2020,BRONX
28,1/27/2019,BROOKLYN
32,12/4/2019,MANHATTAN
49,3/2/2006,BROOKLYN
26,7/7/2019,BROOKLYN
3,9/5/2014,RICHMOND / STATEN ISLAND
39,10/20/2008,BROOKLYN
18,4/8/2013,MANHATTAN
4,6/9/2009,RICHMOND / STATEN ISLAND
3,10/9/2007,RICHMOND / STATEN ISLAND
28,7/25/2013,BRONX
4,1/4/2020,RICHMOND / STATEN ISLAND
29,2/24/2018,BRONX
2,11/21/2007,RICHMOND / STATEN ISLAND
34,9/8/2011,BROOKLYN
19,6/16/2015,QUEENS
30,2/13/2009,BRONX
3,1/13/2013,RICHMOND / STATEN ISLAND
40,10/18/2007,MANHATTAN
128,2/19/2021,MANHATTAN
20,2/25/2021,BRONX
4,2/8/2016,RICHMOND / STATEN ISLAND
10,11/5/2016,RICHMOND / STATEN ISLAND
4,7/29/2011,RICHMOND / STATEN ISLAND
14,1/5/2008,RICHMOND / STATEN ISLAND
24,2/26/2011,MANHATTAN
18,7/3/2021,BRONX
23,3/11/2021,MANHATTAN
20,7/4/2013,MANHATTAN
4,12/30/2012,RICHMOND / STATEN ISLAND
20,9/15/2009,MANHATTAN
28,1/4/2020,BROOKLYN
20,2/22/2011,QUEENS
18,8/16/2017,QUEENS
25,9/5/2016,QUEENS
28,11/13/2013,BRONX
24,1/4/2020,BRONX
16,2/26/2018,QUEENS
5,3/19/2019,RICHMOND / STATEN ISLAND
50,4/15/2005,BRONX
40,2/28/2007,BROOKLYN
10,12/6/2007,RICHMOND / STATEN ISLAND
43,1/26/2015,MANHATTAN
21,2/16/2005,QUEENS
24,1/31/2007,BRONX
26,6/2/2008,MANHATTAN
26,1/29/2015,BRONX
4,12/9/2015,RICHMOND / STATEN ISLAND
40,12/23/2007,QUEENS
27,3/22/2012,MANHATTAN
27,6/25/2005,QUEENS
27,1/29/2012,MANHATTAN
25,3/15/2008,MANHATTAN
37,4/16/2008,BRONX
27,11/1/2012,QUEENS
4,12/19/2010,RICHMOND / STATEN ISLAND
4,9/29/2006,RICHMOND / STATEN ISLAND
23,3/22/2008,BRONX
21,1/4/2020,MANHATTAN
50,3/3/2018,BROOKLYN
16,2/11/2014,BRONX
47,1/10/2017,BRONX
37,3/17/2015,MANHATTAN
13,1/4/2020,QUEENS
11,9/4/2018,RICHMOND / STATEN ISLAND
20,12/4/2009,BRONX
24,6/5/2017,BRONX
35,2/20/2012,QUEENS
24,1/25/2017,MANHATTAN
14,1/5/2020,BRONX
21,12/11/2015,QUEENS
7,1/5/2020,RICHMOND / STATEN ISLAND
38,4/14/2012,BROOKLYN
17,10/19/2019,MANHATTAN
39,11/28/2008,BROOKLYN
54,1/6/2018,MANHATTAN
14,6/1/2009,RICHMOND / STATEN ISLAND
43,6/2/2005,MANHATTAN
16,6/14/2014,QUEENS
7,1/26/2007,RICHMOND / STATEN ISLAND
43,1/5/2020,BROOKLYN
10,6/16/2018,RICHMOND / STATEN ISLAND
41,5/15/2007,BROOKLYN
15,7/13/2013,QUEENS
3,4/18/2014,RICHMOND / STATEN ISLAND
25,4/2/2019,MANHATTAN
15,11/11/2015,QUEENS
51,4/18/2009,BROOKLYN
4,9/4/2017,RICHMOND / STATEN ISLAND
23,7/25/2009,MANHATTAN
13,7/13/2008,RICHMOND / STATEN ISLAND
27,8/30/2010,QUEENS
37,9/19/2019,BROOKLYN
25,10/13/2015,BROOKLYN
24,9/23/2017,QUEENS
30,7/2/2016,MANHATTAN
28,8/7/2016,BRONX
35,6/15/2012,BROOKLYN
35,3/7/2006,BRONX
18,6/26/2012,QUEENS
21,5/2/2011,QUEENS
14,7/10/2016,MANHATTAN
26,5/15/2013,BROOKLYN
22,8/2/2019,BRONX
2,7/18/2019,RICHMOND / STATEN ISLAND
41,2/1/2018,BROOKLYN
17,2/4/2008,MANHATTAN
34,11/23/2008,QUEENS
4,3/28/2021,RICHMOND / STATEN ISLAND
18,12/17/2019,BRONX
26,5/1/2009,QUEENS
3,11/14/2006,RICHMOND / STATEN ISLAND
43,5/9/2010,MANHATTAN
19,1/5/2020,QUEENS
21,5/27/2006,QUEENS
6,4/2/2007,RICHMOND / STATEN ISLAND
2,11/9/2010,RICHMOND / STATEN ISLAND
54,2/15/2006,QUEENS
22,7/8/2010,BRONX
40,12/23/2009,QUEENS
24,8/21/2017,MANHATTAN
7,6/5/2005,RICHMOND / STATEN ISLAND
17,11/11/2019,BRONX
13,9/24/2018,BRONX
14,11/29/2010,BRONX
15,1/5/2020,MANHATTAN
26,12/27/2006,MANHATTAN
2,11/5/2014,RICHMOND / STATEN ISLAND
35,11/2/2013,BROOKLYN
10,7/23/2017,MANHATTAN
34,10/9/2011,BRONX
11,6/8/2006,QUEENS
16,2/24/2021,QUEENS
8,11/11/2013,RICHMOND / STATEN ISLAND
17,8/3/2014,MANHATTAN
17,11/22/2011,BRONX
5,2/27/2006,RICHMOND / STATEN ISLAND
48,3/30/2007,MANHATTAN
23,8/13/2011,BRONX
36,3/17/2007,BRONX
4,11/27/2017,RICHMOND / STATEN ISLAND
5,2/22/2005,RICHMOND / STATEN ISLAND
33,4/19/2015,QUEENS
21,6/10/2009,MANHATTAN
4,10/20/2007,RICHMOND / STATEN ISLAND
19,4/21/2015,MANHATTAN
30,4/5/2013,MANHATTAN
33,12/19/2016,MANHATTAN
21,7/9/2015,MANHATTAN
18,7/22/2016,BRONX
15,8/23/2015,QUEENS
51,6/5/2013,BROOKLYN
11,6/4/2018,BRONX
22,2/23/2012,BRONX
49,11/12/2010,BROOKLYN
22,6/15/2010,BRONX
